29384756,"OmegaTech ","DESKTOP",description ,1211.75,28,"CyberPowerPC ",1
67584923,"CyberElite ","DESKTOP",description ,910.55,23,"iBUYPOWER ",1
19283746,"TitanPro ","DESKTOP",description ,517.1,49,"Evergreen Technologies ",1
87456321,"ZenithPro ","DESKTOP",description ,410.6,40,"Microtel Computer Systems ",2
17283940,"FalconTech ","DESKTOP",description ,1216.65,8,"Alienware ",4
19283746,"TitanPro ","DESKTOP",description ,517.1,49,"Evergreen Technologies ",1
19283746,"TitanPro ","DESKTOP",description ,517.1,49,"Evergreen Technologies ",1
19283746,"TitanPro ","DESKTOP",description ,517.1,49,"Evergreen Technologies ",1
47586921,"HyperionX ","DESKTOP",description ,1301.2,3,"Velocity Micro ",5
19283746,"TitanPro ","DESKTOP",description ,517.1,49,"Evergreen Technologies ",1
19283746,"TitanPro ","DESKTOP",description ,517.1,49,"Evergreen Technologies ",1
19283746,"TitanPro ","DESKTOP",description ,517.1,49,"Evergreen Technologies ",1
19283746,"TitanPro ","DESKTOP",description ,517.1,49,"Evergreen Technologies ",1
